question,answer,0,1,2,3,label,
enormously,tremendously,appropriately,uniquely,tremendously ,decidedly ,correct,
provisions,stipulations,stipulations,interrelations,jurisdictions,interpretations ,correct,
haphazardly,randomly,dangerously ,densely,randomly ,linearly ,correct,
prominent,conspicuous,battered ,ancient,mysterious ,conspicuous ,correct,
zenith,pinnacle,completion ,pinnacle ,outset ,decline ,correct,
flawed,imperfect,tiny ,imperfect,lustrous ,crude,correct,
urgently,desperately,typically,conceivably ,tentatively ,desperately ,correct,
consumed,eaten,bred ,caught ,eaten ,supplied ,correct,
advent,coming,coming ,arrest ,financing ,stability ,correct,
concisely,succinctly,powerfully,positively ,freely,succinctly ,correct,
salutes,greetings,information ,ceremonies ,greetings ,privileges ,wrong,1
solitary,alone,alert ,restless ,alone ,fearless ,wrong,2
hasten,accelerate,permit ,determine ,accelerate ,accompany ,correct,
perseverance,endurance,endurance ,skill ,generosity ,disturbance ,wrong,3
fanciful,imaginative,familiar ,imaginative ,apparent ,logical ,correct,
showed,demonstrated,demonstrated ,published ,repeated ,postponed ,correct,
constantly,continually,instantly,continually ,rapidly ,accidentally ,correct,
issues,subjects,training ,salaries,subjects ,benefits ,correct,
furnish,supply,supply ,impress ,protect ,advise ,wrong,4
costly,expensive,expensive ,beautiful ,popular ,complicated ,correct,
recognized,acknowledged,successful,depicted ,acknowledged ,welcomed ,correct,
spot,location,climate ,latitude ,sea ,location ,correct,
make,earn,earn ,print ,trade ,borrow ,correct,
often,frequently,definitely ,frequently ,chemically ,hardly ,correct,
easygoing,relaxed,frontier ,boring ,farming ,relaxed ,correct,
debate,argument,war,argument,election,competition,correct,
narrow,thin,clear,freezing,thin,poisonous,correct,
arranged,planned,planned,explained,studied,discarded,correct,
infinite,limitless,limitless,relative,unusual,structural,correct,
showy,striking,striking,prickly,entertaining,incidental,wrong,5
levied,imposed,imposed,believed,requested,correlated,correct,
deftly,skillfully,skillfully,prudently,occasionally,humorously,correct,
distribute,circulate,commercialize,circulate,research,acknowledge,wrong,6
discrepancies,differences,weights,deposits,wavelengths,differences,correct,
prolific,productive,productive,serious,capable,promising,correct,
unmatched,unequaled,unrecognized,unequaled,alienated,emulated,correct,
peculiarly,uniquely,partly,uniquely,patriotically,suspiciously,correct,
hue,color,glare,contrast,color,scent,correct,
hind,rear,curved,muscular,hairy,rear,correct,
highlight,accentuate,alter,imitate,accentuate,restore,correct,
hastily,hurriedly,hurriedly,shrewdly,habitually,chronologically,correct,
temperate,mild,cold,mild,short,windy,correct,
grin,smile,exercise,rest,joke,smile,correct,
verbally,orally,orally,overtly,fittingly,verbosely,correct,
physician,doctor,chemist,pharmacist,nurse,doctor,correct,
essentially,basically,possibly,eagerly,basically,ordinarily,correct,
keen,sharp,useful,simple,famous,sharp,wrong,7
situated,positioned,rotating,isolated,emptying,positioned,correct,
principal,major,most,numerous,major,exceptional,correct,
slowly,gradually,rarely,gradually,effectively,continuously,correct,
built,constructed,constructed,proposed,financed,organized,correct,
tasks,jobs,customers,materials,shops,jobs,correct,
unlikely,improbable,improbable,disagreeable,different,unpopular,correct,
halfheartedly,apathetically,customarily,bipartisanly,apathetically,unconventionally,correct,
annals,chronicles,homes,trails,chronicles,songs,correct,
wildly,furiously,distinctively,mysteriously,abruptly,furiously,correct,
hailed,acclaimed,judged,acclaimed,remembered,addressed,wrong,8
command,mastery,observation,love,awareness,mastery,correct,
concocted,devised,devised,cleaned,requested,supervised,correct,
prospective,potential,particular,prudent,potential,prominent,correct,
generally,broadly,descriptively,broadly,controversially,accurately,correct,
sustained,prolonged,prolonged,refined,lowered,analyzed,correct,
perilous,dangerous,binding,exciting,offensive,dangerous,correct,
tranquillity,peacefulness,peacefulness,harshness,weariness,happiness,guess,9
dissipate,disperse,disperse,isolate,disguise,photograph,correct,
primarily,chiefly,occasionally,cautiously,consistently,chiefly,correct,
colloquial,conversational,recorded,misunderstood,incorrect,conversational,correct,
resolved,settled,publicized,forgotten,settled,examined,correct,
feasible,possible,permitted,possible,equitable,evident,correct,
expeditiously,rapidly,frequently,actually,rapidly,repeatedly,correct,
percentage,proportion,volume,sample,proportion,profit,correct,
terminated,ended,ended,posed,postponed,evaluated,wrong,10
uniform,alike,hard,complex,alike,sharp,correct,
figure,solve,list,solve,divide,express,correct,
sufficient,enough,recent,physiological,enough,valuable,correct,
fashion,manner,ration,fathom,craze,manner,correct,
marketed,sold,frozen,sold,sweetened,diluted,correct,
bigger,larger,steadier,closer,larger,better,correct,
roots,origins,origins,rituals,cure,function,correct,
normally,ordinarily,haltingly,ordinarily,permanently,periodically,correct,